순번,자치구,구역명,위치,공공/민간,일반/재촉지구,사업유형,사업추진단계,기존 가구수(멸실량),최초,변경(최종),추진위원회,조합설립인가(사업시행자 지정일),건축심의,사업시행인가_최초,사업시행인가_변경(최종),관리처분계획인가_최초,관리처분계획인가_변경(최종),이주시작일,이주종료일,착공,세대총합계,분양,임대
433,강동구,천호3-2,천호동 397-419,민간,일반,주택정비형 재개발,추진위,307,2022-07-21,2022-07-21,2023-04-07,,,,,,,,,,420,420,0
434,강동구,천호3-3,천호동 532-2,민간,일반,주택정비형 재개발,조합설립,193,2023-07-27,2023-07-27,2024-02-20,2024-12-02,,,,,,,,,567,567,0
435,강동구,천호A1-1,천호동 467-61,공공,일반,주택정비형 재개발,구역지정,581,2024-11-28,,,,,,,,,,,,757,757,0
436,강동구,천호A1-2,천호동 461-31,민간,일반,주택정비형 재개발,구역지정,630,2024-03-14,,,,,,,,,,,,781,645,136
428,강동구,천호4,천호동 410-100,민간,재촉,도시정비형 재개발,착공,316,2011-02-10,2011-02-10,2012-02-10,2013-04-11,2016-05-17,2017-02-22,2023-09-25,2019-07-31,2025-03-28,2020-01-01,2020-11-30,2021-12-31,670,499,171
429,강동구,천호8,천호동 166-4,민간,재촉,도시정비형 재개발,조합설립,196,2006-10-19,2021-11-04,2022-08-04,2024-01-16,,,,,,,,,520,363,157
184,강북구,미아2,미아동 403,민간,재촉,주택정비형 재개발,조합설립,"3,563",2010-03-18,2020-08-27,2004-09-06,2016-05-31,,,,,,,,,"3,519","2,915",604
185,강북구,미아3,미아동 439,민간,재촉,주택정비형 재개발,관리처분,"1,204",2010-03-18,2023-01-05,2010-05-19,2015-01-13,2019-06-11,2021-07-23,2023-01-26,2024-06-03,,2024-11-19,2025-05-31,,"1,037",858,179
189,강북구,미아11,미아동 791-108,민간,일반,주택정비형 재개발,건축심의,849,2010-12-30,,2006-07-12,2022-05-16,2023-06-30,,,,,,,,598,495,103
187,강북구,강북5,미아동 61-79,공공,재촉,도시정비형 재개발,조합설립,134,2014-03-06,2015-06-11,2008-06-26,2021-11-19,,,,,,,,,688,390,298
188,강북구,강북3,미아동 45-32번지 일대,민간,재촉,도시정비형 재개발,사업시행,325,2023-04-27,2023-04-27,,2023-06-16,2023-12-26,2024-10-18,,,,,,,922,692,230
273,강서구,방화2,방화동 589-13,민간,재촉,주택정비형 재개발,조합설립,495,2024-03-21,,,2024-08-16,,,,,,,,,728,613,115
