사업명,사업대분류,사업세부분류,자치구,면적,위치,용도지역(기존),용도지역(변경),용적률,건폐율,층수(지상/지하),높이,공급세대,분양,임대,임대비율,유형,권역,추진단계,추진일시,자료기준일,시 담당부서,시 연락처,구 담당부서,구 연락처
가락1차현대,정비사업,재건축(공동),송파구,"32,723.2 ㎡",문정동 3,제3종일반,제3종일반,299.2%,31.33%,4/22,69.1,842세대,717,125,14.85%,재건축(공동),동남권,사업시행인가,2025.01.24,2025.05.31,서울특별시 공동주택과,2133-7148,송파구 주택사업과,2147-2903
가락극동,정비사업,재건축(공동),송파구,"40,111.5 ㎡",가락동 192,제3종일반,제3종일반,299.81%,22.35%,3/35,102.6,975세대,853,122,12.51%,재건축(공동),동남권,조합설립인가,2020.06.26,2025.05.31,서울특별시 공동주택과,2133-7148,송파구 주택사업과,2147-2904
가락미륭,정비사업,재건축(공동),송파구,"20,296.6 ㎡",가락동 138,제3종일반,제3종일반,299.25%,27.3%,3/20,59.95,614세대,529,85,13.84%,재건축(공동),동남권,사업시행인가,2024.06.27,2025.05.31,서울특별시 공동주택과,2133-7148,송파구 주택사업과,2147-2903
가락삼익맨숀,정비사업,재건축(공동),송파구,"59,721.7 ㎡",송파동 166,제3종일반,제3종일반,299.98%,18.67%,3/30,91,"1,531세대","1,358",173,11.3%,재건축(공동),동남권,사업시행인가,2023.11.13,2025.05.31,서울특별시 공동주택과,2133-7146,송파구 주택사업과,2147-2888
가락상아1차,정비사업,재건축(공동),송파구,"13,580 ㎡",오금동 166,제3종일반,제3종일반,299.75%,18.16%,2/30,91,405세대,342,63,15.56%,재건축(공동),동남권,관리처분계획인가,2025.01.07,2025.05.31,서울특별시 공동주택과,2133-7148,송파구 주택사업과,2147-2904
가락우성1차,정비사업,재건축(공동),송파구,"35,043.7 ㎡",가락동 96-1,제3종일반,제3종일반,281.88%,23.15%,3/34,109,967세대,875,92,9.51%,재건축(공동),동남권,추진위구성,2024.12.24,2025.05.31,서울특별시 공동주택과,2133-7146,송파구 주택사업과,2147-2896
가락우창,정비사업,신속통합기획,송파구,"17,235.6 ㎡",오금동 164 일대,-,-,,,,,,,,,신속통합기획,동남권,대상지선정(추진중),2024.10.18,2025.05.31,서울특별시 공동주택과,2133-7148,송파구 주택사업과,2147-2904
가락프라자,정비사업,재건축(공동),송파구,"45,808.8 ㎡",가락동 199,제3종일반,제3종일반,299.91%,22.44%,3/34,101.43,"1,068세대",953,115,10.77%,재건축(공동),동남권,관리처분계획인가,2025.03.14,2025.05.31,서울특별시 공동주택과,2133-7148,송파구 주택사업과,2147-2904
가리봉1구역,정비사업,신속통합기획,구로구,"83,949.57 ㎡",가리봉동 115 일대,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2024.01.26,2025.05.31,서울특별시 신속통합기획과,2133-8304,구로구 도시개발과,860-2534
가리봉2구역,정비사업,신속통합기획,구로구,"41,515 ㎡",가리봉동 87-177 일대,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2023.06.22,2025.05.31,서울특별시 신속통합기획과,2133-8304,구로구 도시개발과,860-2962
가리봉2구역,정비사업,재개발(주택정비형),구로구,"41,515 ㎡",가리봉 87-177,"제2종,제2종(7층)일반","제2종,제2종(7층),제3종일반,준주거",399.87%,50%,39층이하,120,"1,214세대","1,075",139,11.45%,재개발(주택정비형),서남권,구역지정,2025.03.13,2025.05.31,서울특별시 주거정비과,2133-7192,구로구 도시개발과,860-2963
가재울7,정비사업,재개발(주택정비형),서대문구,"80,733 ㎡",북가좌동 73-1,"제1종,제2종(7층),제2종(12층),제3종일반","제2종(7층),제3종일반",265%,50%,36층이하,-,"1,350세대","1,080",270,20%,재개발(주택정비형),서북권,조합설립인가,2022.08.09,2025.05.31,서울특별시 재정비촉진과,2133-7227,서대문구 주거정비과,330-1654
갈현1,정비사업,재개발(주택정비형),은평구,"175,794.9 ㎡",갈현동 300,"제1종,제2종(7층),제2종(12층),제3종일반","제1종,제2종(7층),제2종(12층),제3종일반",230.43%,32.59%,6/22,62.15,"4,116세대","3,496",620,15.06%,재개발(주택정비형),서북권,관리처분계획인가,2022.05.06,2025.05.31,서울특별시 주거정비과,2133-9383,은평구 정비사업신속추진단,351-7464
갈현동 12-248일대,정비사업,신속통합기획,은평구,"39,644 ㎡",갈현동 12-248일대,-,-,,,,,,,,,신속통합기획,서북권,기획완료,2024.05.10,2025.05.31,서울특별시 신속통합기획과,2133-1691,은평구 정비사업신속추진단,351-7453
강남원효성빌라,정비사업,재건축(공동),서초구,"247,290 ㎡",반포동 591-1 외5,제1종일반,제1종일반,127.11%,60%,2/4,13,103세대,103,-,-,재건축(공동),동남권,조합설립인가,2022.12.19,2025.05.31,서울특별시 공동주택과,2133-7287,서초구 재건축사업과,2155-7340
강변강서아파트,정비사업,재건축(공동),용산구,"3,775 ㎡","이촌동 193-3,5",제3종일반,제3종일반,-,-,-,-,213세대,213,-,-,재건축(공동),도심권,조합설립인가,1993.04.12,2025.05.31,서울특별시 공동주택과,2133-7283,용산구 주택과,2199-7365
개봉동 120-1,정비사업,신속통합기획,구로구,"76,163 ㎡",개봉동 120-1 일대,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2025.02.27,2025.05.31,서울특별시 신속통합기획과,2133-1688,구로구 도시개발과,860-2964
개봉동 49,정비사업,신속통합기획,구로구,"60,704.5 ㎡",개봉동 49 일대,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2024.01.11,2025.05.31,서울특별시 신속통합기획과,2133-8343,구로구 도시개발과,860-2962
개포 경남·우성3·현대1,정비사업,신속통합기획,강남구,"132,571 ㎡",개포동 649 일대,-,-,,,,,,,,,신속통합기획,동남권,기획완료,2023.08.18,2025.05.31,서울특별시 신속통합기획과,2133-8303,강남구 재건축사업과,3423-6117
개포현대2차,정비사업,신속통합기획,강남구,"62,251 ㎡",개포동 654 일대,-,-,,,,,,,,,신속통합기획,동남권,대상지선정(추진중),2025.03.12,2025.05.31,서울특별시 신속통합기획과,2133-8303,강남구 재건축사업과,3423-6117
거여새마을,정비사업,재개발(주택정비형),송파구,"71,922 ㎡",거여동 551-14,"제1종,제2종(7층),제2종,제3종일반,자연녹지","제1종,제2종(7층),제2종,제3종일반",282%,50%,35층이하,132,"1,678세대","1,207",471,28.07%,재개발(주택정비형),동남권,조합설립인가,2023.02.23,2025.05.31,서울특별시 재정비촉진과,2133-7226,송파구 주택사업과,2147-2897
고덕 현대,정비사업,신속통합기획,강동구,"37,658 ㎡",명일동 56 일대,-,-,,,,,,,,,신속통합기획,동남권,기획완료,2023.07.28,2025.05.31,서울특별시 신속통합기획과,2133-1870,강동구 재건축재개발과,3425-5985
고덕주공9,정비사업,신속통합기획,강동구,"76,091 ㎡",명일동 257,-,-,,,,,,,,,신속통합기획,동남권,대상지선정(추진중),2025.04.24,2025.05.31,서울특별시 공동주택과,2133-7299,강동구 재건축재개발과,3425-5985
고척4,정비사업,재개발(주택정비형),구로구,"42,207.9 ㎡",고척동 148,"제3종일반,준공업","제3종일반,준공업",269.8%,20.07%,3/25,75.25,983세대,835,148,15.06%,재개발(주택정비형),서남권,관리처분계획인가,2021.06.10,2025.05.31,서울특별시 주거정비과,2133-7192,구로구 도시개발과,860-2963
고척동 산업인아파트,정비사업,재건축(공동),구로구,"17,052 ㎡",고척동 57-9,"제2종(7층)일반,자연녹지","제2종(7층)일반,자연녹지",212.61%,30.36%,3/13,-,367세대,367,-,-,재건축(공동),서남권,사업시행인가,2024.06.13,2025.05.31,서울특별시 공동주택과,2133-7148,구로구 주택과,860-2203
고척동253일대,정비사업,신속통합기획,구로구,"63,024.42 ㎡",고척동 253 일대,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2023.12.21,2025.05.31,서울특별시 신속통합기획과,2133-1688,구로구 도시개발과,860-2964
