사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고,위치도,조감도,배치도,조합사무실 주소,조합사무실 전화번호,진행단계_구간
11740-900001290,강동구,천호동,재개발(주택정비형),조합,천호 A1-1구역 공공재개발 정비사업 주민대표회의,천호동 467-61,조합설립인가,운영,216,천호 A1-1구역 공공재개발 정비사업,강동구 천호동 467-61,26548.97,,제3종일반주거지역,,26548.97,5389.25,0.0,0.0,0.0,0.0,21159.72,공동주택 및 부대복리시설,50.0,359.94,125.0,40.0,,480,189.0,213.0,78.0,267,40.0,,227.0,,/servlet/image?url=images/assc/2025/03/202503121522181741760538457.png,/servlet/image?url=images/assc/2025/04/202504040949361743727776091.png,/servlet/image?url=images/assc/2025/04/202504040949361743727776481.png,"서울특별시 강동구 구천면로 153, 용강빌딩 401호 (천호동)",02-474-4230,정비구역지정~조합설립
11290-900001296,성북구,하월곡동,재개발(주택정비형),공공지원자,하월곡1구역 주택정비형 재개발사업,하월곡동 70-1,정비구역지정,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,정비구역지정~조합설립
11110-100002000,종로구,신영동,재개발(주택정비형),조합,신영제1구역 주택재개발정비사업조합,신영동 158-2,철거신고,운영,56,신영제1구역 주택재개발정비사업,종로구 신영동 158-2번지,15589.3,35566.19,제2종일반주거지역,자연경관지구,13252.6,1601.1,,,,,735.6,공동주택,37.06,151.5,22.0,7.0,3.0,199,41.0,123.0,35.0,0,,,,,/servlet/image/assc/201003101141151268188875576.jpg,/servlet/image/assc/2023/07/202307241353051690174385645.jpg,/servlet/image?url=images/assc/2022/03/202203161001481647392508301.jpg,서울특별시 종로구 자하문로42길 29 (신영동),02-395-0045,관리처분인가~이전고시
11140-100002005,중구,신당동,재개발(주택정비형),조합,신당제8구역 재개발정비사업조합,신당동 321-1,관리처분인가,운영,544,신당제8구역주택재개발 정비사업,중구 신당동 321번지 일대,58651.3,189092.58,2종일반주거지역,,45184.0,7992.0,3699.3,,,470.0,1306.0,공동주택(아파트)/및 부대복리시설,17.68,244.17,84.0,28.0,4.0,1030,513.0,449.0,68.0,183,90.0,80.0,13.0,,/servlet/image?url=images/assc/2018/04/201804121354301523508870409.jpg,/servlet/image/assc/2019/06/201906270026031561562763974.jpg,/servlet/image?url=images/assc/2024/05/202405101504191715321059096.jpg,"서울특별시 중구 다산로22길 26, 3층 (신당동)",02-2231-9559,사업시행인가~관리처분인가
11230-100003002,동대문구,청량리동,재개발(주택정비형),조합,청량리제6구역주택재개발정비사업조합,청량리동 205,사업시행인가,운영,688,청량리제6주택재개발정비구역,동대문구 청량리동 205번지 일대,83883.1,227419.52,제2종일반주거지역(12층이하),,63056.3,14800.8,4200.0,,,,700.0,공동주택 및 부대복리시설,25.0,234.0,72.0,16.0,,1242,543.0,612.0,87.0,255,78.0,,177.0,,/servlet/image?url=images/assc/2021/09/202109081632161631086336722.png,/servlet/image/assc/2024/11/202411221107111732241231953.jpg,/servlet/image/assc/2024/11/202411221109151732241355188.jpg,"서울특별시 동대문구 홍릉로 87, 3층 (스피트메이트 건물) (청량리동)",02-3295-2277,사업시행인가~관리처분인가
11230-100006043,동대문구,이문동,재개발(주택정비형),조합,이문1재정비촉진구역 주택재개발정비사업조합,이문동 257-42,일반분양승인,운영,1759,이문1재정비촉진구역,동대문구 이문동 257-42번지,144856.0,458412.65,제2종 및 제3종 일반주거지역 일반상업지역,재정비촉진지구,115829.0,17621.0,9228.0,0.0,0.0,0.0,2178.0,공동주택,30.0,247.6,75.0,27.0,5.0,2528,1235.0,1185.0,108.0,541,236.0,249.0,56.0,,/servlet/image?url=images/assc/2015/12/201512281459311451282371597.jpg,/servlet/image?url=images/assc/2021/09/202109011300231630468823283.jpg,/servlet/image?url=images/assc/2021/09/202109011301051630468865355.jpg,301호,02-960-2788,관리처분인가~이전고시
11230-100006045,동대문구,휘경동,재개발(주택정비형),조합,휘경3재정비촉진구역 주택재개발정비사업조합,휘경동 172,일반분양승인,운영,603,휘경3재정비촉진구역 주택재개발정비사업조합,동대문구 휘경동 172번지,65338.0,195963.42,제3종일반주거지역,재정비촉진지구,41652.0,9316.0,3195.0,6310.0,1480.0,,3385.0,공동주택 및 부대복리시설,18.45,29.96,118.0,35.0,3.0,1785,397.0,1387.0,1.0,314,87.0,70.0,157.0,,/servlet/image/assc/2011/10/201110131004401318467880981.bmp,/servlet/image?url=images/assc/2016/10/201610041201351475550095821.jpg,/servlet/image?url=images/assc/2016/10/201610041201381475550098194.jpg,거부빌딩 6층,02-2245-7223,관리처분인가~이전고시
11230-100007000,동대문구,전농동,재개발(주택정비형),조합,전농8구역주택재개발정비사업조합,전농동 204,조합설립인가,운영,633,전농8구역주택재개발정비사업조합,동대문구 전농동 204번지,93697.0,289080.73,전농답십리뉴타운 개발구역,,72231.5,10884.0,6830.1,0.0,,0.0,3743.4,주택재개발사업,25.45,249.99,130.0,32.0,4.0,1398,611.0,660.0,127.0,352,77.0,106.0,169.0,,/servlet/image?url=images/assc/2024/08/202408231010461724375446811.jpg,/servlet/image?url=images/assc/2024/08/202408230951401724374300437.jpg,/servlet/image?url=images/assc/2024/08/202408230951421724374302714.jpg,"서울특별시 동대문구 전농로17길 55, 3층 (전농동)",02-2212-0247,정비구역지정~조합설립
11230-900000092,동대문구,전농동,재개발(주택정비형),조합,전농제12구역 재개발정비사업조합,전농동 643,조합설립인가,운영,146,전농12주택재개발정비구역,동대문구 전농동 643번지,16237.0,53075.09,제3종일반주거지역,,13791.7,834.1,815.0,,,,796.2,공동주택,50.0,2.4,,,30.0,246,53.0,143.0,50.0,51,22.0,21.0,8.0,,/servlet/image?url=images/assc/2020/02/202002131707391581581259077.jpg,/servlet/image/assc/2011/03/201103091753311299660811607.jpg,/servlet/image/assc/2011/03/201103091753311299660811919.jpg,"서울특별시 동대문구 답십리로 48-6, 1층 (전농동)",02-2215-2213,정비구역지정~조합설립
11140-900000749,중구,신당동,재개발(주택정비형),조합,신당10구역주택재개발정비사업조합,신당동 236-100,조합설립인가,운영,765,신당제10구역주택재개발정비사업,중구 신당동 236-100,6389.34,230468.45,제2종제3종 일반주거지역 일반상업지역,,47795.1,9989.9,6108.4,,,,,공동주택 및 부대복리시설,28.1,299.8,175.0,35.0,3.0,1107,508.0,429.0,170.0,316,52.0,77.0,187.0,,/servlet/image?url=images/assc/2023/09/202309121439531694497193121.jpg,/servlet/image?url=images/assc/2023/09/202309121538571694500737627.jpg,/servlet/image?url=images/assc/2024/05/202405131117281715566648249.png,"서울특별시 중구 퇴계로76길 66, 2층 (신당동)",02-2256-7435,정비구역지정~조합설립
