field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,field16,field17,field18,field19,field20,field21,field22,field23,field24,field25,field26,field27,field28,field29,field30,field31,field32,field33,field34,field35,field36,field37,field38,_GC_TYPE,_CLEANADDR,_X,_Y
11110-100002000,,종로구,신영동,조합,신영동 158-2,철거신고,운영,56,신영제1구역 주택재개발정비사업,종로구 신영동 158-2번지,15589.3,35566.19,제2종일반주거지역,자연경관지구,13252.6,1601.1,,,,,735.6,공동주택,37.06,151.5,22,7,3,199,41,123,35,0,,,,,시행단계,정,서울특별시 종로구 신영동 158-2,126.96251652713325,37.599989813868014
11740-900001027,1차선정구역,강동구,천호동,공공지원자,천호동 461-31,정비구역지정,운영,248,천호 A1-2구역,강동구 천호동 461-31,30699.6,122951.92,제3종일반주거지역,,26598.79,4100.85,,,,,,공동주택 및 부대복리시설,36.21,299.99,125,40,2,645,241,320,84,136,110,,26,,계획단계,정,서울특별시 강동구 천호동 461-31,127.1220418264144,37.541539151036076
11170-100003006,,용산구,청파동,조합,청파동2가 11-1,조합설립인가,운영,460,청파제1구역 재개발정비사업조합,용산구 청파동2가 11-1번지,32390.4,112533.03,제2종 일반주거지역(7층이하) 제3종 일반주거지역,,26549.6,3060.3,,,,,2667.3,공동주택 및 부대복리시설,25.72,249.86,80,25,3,581,310,183,88,116,93,19,4,,시행준비단계,정,서울특별시 용산구 청파동2가 11-1,126.96875528071405,37.54685170245066
11140-900000981,,중구,중림동,조합,중림동 398,조합설립인가,운영,420,중림동 398 정비계획 수립(추정분담금),중구 중림동 398-0,28315.5,125468.85,제2종일반주거지역(7층 이하) 제3종일반주거지역,,23650.5,4665,,,,,719.3,주거,25.85,299.73,75,25,5,600,349,251,,191,39,,152,,시행준비단계,정,서울특별시 중구 중림동 398,126.96781532502219,37.560464047103665
11140-100002006,,중구,신당동,조합,신당동 432-1008,조합설립인가,운영,178,신당제9 주택재개발정비구역,중구 신당2동 432-1008번지,18651,54028.85,제2종일반주거지역(7층이하)   제3종일반주거지역,최고고도지구(7층28m이하)   일반미관지구,17672,375,,,,,604,공동주택 및 부대복리시설,34.47,161.53,28,7,6,315,167,148,,0,,,,,시행준비단계,정,서울특별시 중구 신당동 432-1008,127.00652216205842,37.55012826824014
11170-900000099,,용산구,보광동,조합,보광동 272-3,관리처분인가,운영,929,한남 제2재정비촉진구역,용산구 보광동 272-3,114580.6,161889.03,도시지역 제2종일반주거지역(7층이하),재정비촉진지구,83758.9,19008.8,3192.6,2801,5819.3,0,0,공동주택 및 부대복리시설 근리생활시설,32.14,195.42,45,14,6,1299,424,629,246,238,97,137,4,,시행단계,정,서울특별시 용산구 보광동 272-3,126.99711245282697,37.53129010323138
11740-900001152,기존구역(신통추진),강동구,천호동,조합,천호동 532-2,조합설립인가,운영,189,천호동532-2번지 주택정비형 재개발사업,강동구 천호동 532-2,24620,55101.31,제2종일반주거지역,,24000,20,,,,,600,아마트 및 부대복리시설,26.02,229.59,,2,24,431,260,171,,77,24,33,20,,시행준비단계,정,서울특별시 강동구 천호동 532-2,127.13082421979585,37.54104642635476
11170-900000101,,용산구,보광동,조합,보광동 360,조합설립인가,운영,1207,한남4재정비촉진구역주택재개발정비사업조합설립추진위원회,용산구 보광동 360-0,160258,535877.18,제1종일반주거지역제2종일반주거지역(7층)제3종일반주거지역준주거지역,미관지구,115341,29763,8128,0,6540,0,486,아파트/부대복리시설,30.89,226.98,73,22,7,1981,664,616,701,350,117,172,61,,시행준비단계,정,서울특별시 용산구 보광동 360,126.99821788509627,37.52680690035208
11500-900001004,1차선정구역,강서구,방화동,조합,방화동 589-13,조합설립인가,운영,348,방화2구역,방화동 589-13,34900,,,,,,,,,"27,478",,,,,,,,"5,230",,,,0,,,,,시행준비단계,정,서울특별시 강서구 방화동 589-13,126.8094163387192,37.56723507916876
11200-100002007,,성동구,금호동,조합,금호동2가 501-31,관리처분인가,운영,365,금호제16재개발정비구역,성동구 금호동2가 501-31,27485,88619.35,제2종일반주거지역,행정기관 위탁고도 120m지역,22703,2077,2407,180,118,,,아파트,23.96,236.89,4692,16,8,475,171,304,,120,120,,,,시행단계,정,서울특별시 성동구 금호동2가 501-31,127.01811954620315,37.551422856401516
